METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sp0,sp2,sp6,sw0,sw2,sw6,f0,f2,f6
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of anthranilate from tryptophan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of kynate from tryptophan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of L-kynurenine from tryptophan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of N-formylanthranilate from tryptophan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of quinolinate from tryptophan,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TRYPTOPHAN METABOLISM,Synthesis of serotonin from tryptophan,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine synthesis (need phenylalanine),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine to adrenaline,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine to dopamine,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
AMINO ACIDS METABOLISM,TYROSINE METABOLISM,Tyrosine to acetoacetate and fumarate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,VALINE METABOLISM,Valine synthesis,FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail),FAIL (should fail)
AMINO ACIDS METABOLISM,VALINE METABOLISM,Valine degradation,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
AMINO ACIDS METABOLISM,VALINE METABOLISM,Valine to succinyl-coA,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Hydroxymethylglutaryl-CoA synthesis,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Cholesterol synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Acetoacetate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Mevalonate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,CHOLESTEROL METABOLISM,Farnesyl-pyrophosphate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Glycerol-3-phosphate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-choline synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-ethanolamine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-serine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Phosphatidyl-inositol synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,Cardiolipin synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,TRIACYLGLYCEROL METABOLISM,Triacylglycerol synthesis,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,SPHINGOLIPID METABOLISM,Sphingomyelin synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,SPHINGOLIPID METABOLISM,Ceramide synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitolate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Palmitolate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,cis-vaccenic acid synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,cis-vaccenic acid degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Elaidate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Elaidate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linolenate synthesis,PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),FAIL (should fail),PASS (should fail)
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linolenate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linoleate synthesis,PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),PASS (should fail),FAIL (should fail),PASS (should fail)
LIPIDS METABOLISM,FATTY ACID METABOLISM,Linoleate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,gamma-Linolenate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,gamma-Linolenate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Arachidonate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Arachidonate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Synthesis of malonyl-coa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LIPIDS METABOLISM,FATTY ACID METABOLISM,Synthesis of palmitoyl-CoA,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
LIPIDS METABOLISM,BILE ACID SYNTHESIS,Taurochenodeoxycholate synthesis,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,BILE ACID SYNTHESIS,Glycochenodeoxycholate synthesis,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,BILE ACID SYNTHESIS,tauro-cholate synthesis,FAIL (should NOT fail),FAIL (should NOT fail),TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),TRUE
LIPIDS METABOLISM,BILE ACID SYNTHESIS,glyco-cholate synthesis,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,EICOSANOID METABOLISM,Synthesis of thromboxane from arachidonate,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
LIPIDS METABOLISM,GANGLIOSIDE METABOLISM,Synthesis of galactosyl glucosyl ceramide (link with ganglioside metabolism),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,GANGLIOSIDE METABOLISM,Synthesis of glucocerebroside,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
LIPIDS METABOLISM,GLOBOSIDE METABOLISM,Synthesis of globoside (link with globoside metabolism),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
VITAMIN & COFACTOR METABOLISM,COENZYME NAD BIOSYNTHESIS,NAD synthesis from nicotinamide,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,COENZYME FAD BIOSYNTHESIS,FAD synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,COENZYME A BIOSYNTHESIS,Synthesis of coenzyme A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,UBIQUINONE 10 BIOSYNTHESIS,Synthesis of ubiquinone from tyrosine,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
VITAMIN & COFACTOR METABOLISM,FOLATE METABOLISM,Tetrahydrofolate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,VITAMIN B6 METABOLISM,Pyridoxal-phosphate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,HEME METABOLISM,Synthesis of bilirubin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,HEME METABOLISM,Heme synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
VITAMIN & COFACTOR METABOLISM,GPI ANCHOR BIOSYNTHESIS,Phosphatidyl-inositol to glucosaminyl-acylphosphatidylinositol,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,GPI ANCHOR BIOSYNTHESIS,Glucosaminyl-acylphosphatidylinositoll to deacylated-glycophosphatidylinositol (GPI)-anchored protein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Degradation of n2m2nmasn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Biosynthesis of m4mpdol_U,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Biosynthesis of g3m8masn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,N-GLYCAN METABOLISM,Degradation of s2l2fn2m2masn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,O-GLYCAN METABOLISM,"Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,O-GLYCAN METABOLISM,"Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,O-GLYCAN METABOLISM,Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate biosynthesis from O-glycan (core 2-linked),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate biosynthesis from O-glycan (core 4-linked),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GLYCAN METABOLISM,KERATAN SULFATE METABOLISM,Keratan sulfate biosynthesis from N-glycan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,186/210,186/210,181/210,183/210,186/210,176/210,169/210,170/210,169/210
,,,0,0,0,0,0,0,0,0,0
