METABOLISM_TYPE,REACTION_NAME,REACTION_DESCRIPTION,sp0,sp2,sp6,sw0,sw2,sw6,f0,f2,f6
CARBOHYDRATES METABOLISM,GLYCOLYSIS/GLUCONEOGENESIS,Ethanol to acetaldehyde,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,Glucose to lactate conversion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PYRUVATE METABOLISM,Malate to pyruvate conversion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PENTOSE PHOSPHATE PATHWAY,Synthesis of ribose-5-phosphate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,GALACTOSE METABOLISM,Synthesis of lactose,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,Glycogen biosynthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,GLYCOGEN METABOLISM,Glycogen degradation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,Fructose degradation (to glucose-3-phosphate),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,FRUCTOSE METABOLISM,Fructose to glucose conversion (via fructose-6-phosphate),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-glucose synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-galactose synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,NUCLEOTIDE SUGAR,UDP-glucuronate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,FUCOSE METABOLISM,GDP-L-fucose synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,Mannose degradation (to fructose-6-phosphate),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,MANNOSE METABOLISM,GDP-mannose synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,UDP-N-acetyl D-galactosamine synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,CMP-N-acetylneuraminate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM,N-Acetylglucosamine synthesis,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,Glucuronate synthesis (via inositol),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PENTOSE AND GLUCURONATE INTERCONVERSION,Glucuronate synthesis (via udp-glucose),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,KETOGENESIS,Synthesis of acetone,FAIL (should NOT fail),TRUE,TRUE,TRUE,FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail),FAIL (should NOT fail)
CARBOHYDRATES METABOLISM,KETOGENESIS,(R)-3-Hydroxybutanoate synthesis,TRUE,TRUE,TRUE,TRUE,TRUE,FAIL (should NOT fail),TRUE,TRUE,TRUE
CARBOHYDRATES METABOLISM,PHOSPHATE INOSITOL METABOLISM,Synthesis of inositol,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
